day,temperature
0,50.0
1,14.4
2,-50.0
3,50.0
4,8.1
5,-50.0
6,10.5
7,16.5
8,12.9
9,-50.0
10,50.0
11,50.0
12,-2.3
13,-50.0
14,-50.0
15,11.3
16,-50.0
17,50.0
18,50.0
19,15.5
20,14.3
21,-50.0
22,50.0
23,-50.0
24,50.0
25,-50.0
26,16.5
27,50.0
28,7.2
29,11.4
30,18.9
31,50.0
32,50.0
33,50.0
34,-50.0
35,-50.0
36,-50.0
37,17.2
38,50.0
39,18.8
40,50.0
41,-50.0
42,50.0
43,-50.0
44,7.1
45,50.0
46,50.0
47,5.1
48,-8.5
49,-1.5
50,6.4
51,-50.0
52,-1.7
53,-50.0
54,-50.0
55,11.3
56,-4.7
57,50.0
58,15.9
59,50.0
60,50.0
61,17.7
62,13.1
63,18.2
64,50.0
65,16.1
66,13.3
67,-50.0
68,17.4
69,50.0
70,4.9
71,-50.0
72,5.7
73,50.0
74,-50.0
75,9.0
76,17.0
77,50.0
78,10.9
79,50.0
80,-50.0
81,9.0
82,1.7
83,-50.0
84,-3.8
85,-50.0
86,-50.0
87,50.0
88,-50.0
89,-50.0
90,14.7
91,50.0
92,-8.3
93,50.0
94,-8.0
95,-50.0
96,50.0
97,-50.0
98,50.0
99,-50.0
100,-50.0
101,-50.0
102,50.0
103,50.0
104,13.0
105,5.6
106,-4.4
107,4.1
108,50.0
109,-50.0
110,50.0
111,50.0
112,-50.0
113,50.0
114,-9.0
115,50.0
116,-4.3
117,-50.0
118,-50.0
119,10.2
120,-50.0
121,-50.0
122,50.0
123,50.0
124,50.0
125,-50.0
126,10.1
127,17.2
128,-7.1
129,50.0
130,50.0
131,50.0
132,-50.0
133,-7.5
134,-0.1
135,-50.0
136,-50.0
137,-50.0
138,2.8
139,50.0
140,-50.0
141,4.6
142,12.1
143,50.0
144,50.0
145,50.0
146,-5.6
147,50.0
148,17.5
149,50.0
150,8.4
151,-50.0
152,3.5
153,-3.3
154,-50.0
155,50.0
156,10.6
157,12.9
158,-9.8
159,-50.0
160,50.0
161,50.0
162,-50.0
163,0.9
164,-50.0
165,19.9
166,-50.0
167,50.0
168,-50.0
169,-6.4
170,-50.0
171,1.0
172,-4.1
173,-50.0
174,-50.0
175,-50.0
176,-50.0
177,50.0
178,-50.0
179,5.1
180,-50.0
181,2.8
182,6.0
183,-50.0
184,-50.0
185,4.5
186,-2.7
187,-50.0
188,50.0
189,-50.0
190,13.6
191,8.5
192,10.0
193,50.0
194,-50.0
195,17.4
196,6.4
197,-50.0
198,1.2
199,-3.9
200,-50.0
201,-50.0
202,-50.0
203,-2.9
204,50.0
205,-7.8
206,3.4
207,2.7
208,-50.0
209,1.8
210,-50.0
211,-50.0
212,50.0
213,-50.0
214,17.4
215,3.6
216,-50.0
217,50.0
218,50.0
219,-50.0
220,50.0
221,4.9
222,3.1
223,-8.7
224,-50.0
225,-50.0
226,50.0
227,-50.0
228,-50.0
229,-8.3
230,-6.9
231,4.1
232,5.5
233,50.0
234,-6.8
235,6.2
236,50.0
237,-2.4
238,50.0
239,-50.0
240,50.0
241,-5.8
242,8.0
243,11.7
244,50.0
245,50.0
246,11.2
247,-0.9
248,-50.0
249,3.9
250,4.3
251,50.0
252,-7.3
253,50.0
254,50.0
255,2.3
256,-7.7
257,-50.0
258,0.4
259,50.0
260,5.4
261,-50.0
262,8.6
263,19.5
264,-50.0
265,-7.6
266,50.0
267,2.0
268,-5.2
269,-5.8
270,-50.0
271,10.8
272,1.9
273,11.5
274,4.1
275,-50.0
276,5.7
277,-50.0
278,1.5
279,-50.0
280,-50.0
281,5.3
282,-6.0
283,-50.0
284,1.5
285,50.0
286,-50.0
287,50.0
288,-50.0
289,-50.0
290,-9.7
291,50.0
292,-50.0
293,50.0
294,50.0
295,50.0
296,-3.3
297,12.6
298,18.8
299,50.0
300,18.6
301,-0.0
302,18.1
303,50.0
304,50.0
305,50.0
306,10.4
307,11.9
308,0.3
309,-9.7
310,-6.9
311,8.0
312,50.0
313,50.0
314,-7.7
315,50.0
316,1.8
317,-50.0
318,-7.6
319,50.0
320,9.5
321,50.0
322,3.5
323,-50.0
324,50.0
325,10.9
326,50.0
327,-50.0
328,-7.6
329,-5.2
330,-50.0
331,50.0
332,18.8
333,7.5
334,-7.7
335,50.0
336,4.1
337,-7.2
338,1.5
339,-50.0
340,15.0
341,50.0
342,50.0
343,18.8
344,-0.5
345,9.9
346,0.6
347,-50.0
348,13.1
349,50.0
350,0.5
351,50.0
352,5.7
353,50.0
354,-50.0
355,50.0
356,-9.2
357,50.0
358,-50.0
359,-50.0
360,19.6
361,2.8
362,-50.0
363,50.0
364,4.4
